Vendor Code,Trans Category,Trans Date,PCS,Doc No,Stock Code,Customer Name,Variant Name,SOL  Shape,SOL Clr,SOL  Qlty,SOL Cts,Rate,Sol Mrp Rate,Sol Amt,Less Dsj Cert Chgs,Less Lab Cert Chgs,Less Repairing Chgs,Less Wt Loss Chgs,Deduction,Deduction Amt,Cgst Amt,Sgst Amt,Igst Amt,Final Amt,Cust Amt,Margin,Ref Amt,Item Name,Vendor Inv Date,Vendor Inv No
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,16J7W35,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.18-0.22-J-VS2,RND,J,VS2,0.18,164000,29520,21050,500,0,0,0,10,2952,0,0,0,21050,26068,5018,21050,SOL,45774,BHORSB-6
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,11Y0L61,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.14-0.17-EF-VS,RND,EF,VS,0.15,194000,29100,20161,500,0,0,0,10,2910,0,0,0,20161,25690,5529,20161,SOL,45774,BHORSB-6
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,T7XVUKU,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-1.00-1.23-H-VS1,RND,H,VS1,1.03,460000,473800,364826,0,0,0,0,10,47380,0,0,0,364826,426420,61594,364826,SOL,45774,BHORSB-6
PJ010,Buyback,28-05-2025,1,DSJ-GRN-GRN-0525-608,14P5M71,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-1.70-1.99-K-VS1,RND,K,VS1,1.8,510000,918000,734400,0,0,0,0,10,91800,0,0,0,734400,826200,91800,734400,SOL,45790,BHORSB-19
PJ059,Buyback,28-05-2025,1,DSJ-GRN-GRN-0525-610,13X8T38,RATNALAYA JEWELLERS,SOL-RND-0.30-0.38-I-VS1,RND,I,VS1,0.32,164000,52480,36236,500,0,0,0,10,5248,0,0,0,36236,46732,10496,36236,SOL,45801,HOIN252617
PJ010,Buyback,11-06-2025,1,DSJ-GRN-GRN-0625-656,2TAPQYA,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.18-0.22-I-VVS2,RND,I,VVS2,0.18,188000,33840,24203,500,0,0,0,10,3384,0,0,0,24203,29956,5753,24203,SOL,45818,BHORSB-32
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,15M5N17,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.80-0.89-H-VS1,RND,H,VS1,0.81,318000,257580,193185,0,0,0,0,10,25758,0,0,0,193185,231822,38637,193185,SOL,45774,BHORSB-6
PJ010,Buyback,28-05-2025,1,DSJ-GRN-GRN-0525-608,10L1A94,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-1.70-1.99-K-VS1,RND,K,VS1,1.8,510000,918000,734400,0,0,0,0,10,91800,0,0,0,734400,826200,91800,734400,SOL,45790,BHORSB-19
RET010,Buyback,27-05-2025,1,DSJ-GRN-GRN-0525-603,13N8Q52,SIDDHARTH GALA,SOL-RND-0.30-0.38-F-SI2,RND,F,SI2,0.31,167000,51770,46593,0,0,0,0,10,5177,0,0,0,46593,46593,0,46593,SOL,45782,27052025
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,15Y7Y39,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.50-0.59-I-VS1,RND,I,VS1,0.54,200000,108000,81000,0,0,0,0,10,10800,0,0,0,81000,97200,16200,81000,SOL,45774,BHORSB-6
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,003J082050,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.70-0.79-F-IF,RND,F,IF,0.71,450000,319500,239125,500,0,0,0,10,31950,0,0,0,239125,287050,47925,239125,SOL,45774,BHORSB-6
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,15Z0F59,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.14-0.17-EF-VS,RND,EF,VS,0.16,194000,31040,21538,500,0,0,0,10,3104,0,0,0,21538,27436,5898,21538,SOL,45774,BHORSB-6
PJ010,Buyback,11-06-2025,1,DSJ-GRN-GRN-0625-656,13I3P42,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.18-0.22-I-VVS2,RND,I,VVS2,0.18,188000,33840,24203,500,0,0,0,10,3384,0,0,0,24203,29956,5753,24203,SOL,45818,BHORSB-32
PJ062,Buyback,17-06-2025,1,DSJ-GRN-GRN-0625-669,22W4Y63,ARHAM ZAVERI,SOL-RND-0.60-0.69-G-VVS2,RND,G,VVS2,0.6,270000,162000,131220,0,0,0,0,10,16200,0,0,0,131220,145800,14580,131220,SOL,45813,017/25-26
PJ042,Buyback,16-06-2025,1,DSJ-GRN-GRN-0625-663,11R3P28,TEJASWI JEWELLERS JAWAHARLAL MOTILAL SARAF,SOL-RND-0.90-0.99-J-VS2,RND,J,VS2,0.9,274000,246600,184450,500,0,0,0,10,24660,0,0,0,184450,221440,36990,184450,SOL,45820,DS/306/25-26
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,13I8H11,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.50-0.59-I-VS1,RND,I,VS1,0.52,200000,104000,78000,0,0,0,0,10,10400,0,0,0,78000,93600,15600,78000,SOL,45774,BHORSB-6
PJ010,Buyback,30-05-2025,1,DSJ-GRN-GRN-0525-627,16J3I85,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.80-0.89-H-VS1,RND,H,VS1,0.8,318000,254400,190800,0,0,0,0,10,25440,0,0,0,190800,228960,38160,190800,SOL,45774,BHORSB-6
PJ019,SOR Purchase,28-05-2025,1,DSJ-GRN-GRN-0525-612,12P9H36,KULDIP SONS JEWELLERS PVT LTD,SOL-RND-0.39-0.44-G-IF,RND,G,IF,0.4,291000,116400,93120,0,0,0,0,0,0,0,0,0,93120,116400,23280,93120,SOL,45805,26
PJ050,Upgrade,12-04-2025,1,DSJ-GRN-GRN-0425-544,11O6T36,BANSAL JEWELLERS (RUDRAPUR),SOL-RND-0.45-0.49-E-VVS2,RND,E,VVS2,0.45,259000,116550,92740,500,0,0,0,0,0,0,0,0,92740,116050,23310,92740,SOL,45749,HOSL/4
PJ054,Upgrade,22-05-2025,1,DSJ-GRN-GRN-0525-590,12G0B33,PANDIT JEWELLERS PVT LTD,SOL-RND-0.60-0.69-G-VS2,RND,G,VS2,0.61,257000,156770,128051,500,0,0,0,0,0,0,0,0,128051,156270,28219,128051,SOL,45795,PJPL/897
PJ010,Upgrade,11-06-2025,1,DSJ-GRN-GRN-0625-655,15Z9G25,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.14-0.17-EF-SI,RND,EF,SI,0.16,153000,24480,19829,0,0,0,0,0,0,0,0,0,19829,24480,4651,19829,SOL,45818,BHORSB-32
PJ019,Upgrade,12-04-2025,1,DSJ-GRN-GRN-0425-547,11Q9Y44,KULDIP SONS JEWELLERS PVT LTD,SOL-RND-0.30-0.38-G-VS1,RND,G,VS1,0.3,188000,56400,39930,500,0,3500,0,0,0,0,0,0,39930,52400,12470,39930,SOL,45750,1
PJ019,Upgrade,12-04-2025,1,DSJ-GRN-GRN-0425-547,13H0J17,KULDIP SONS JEWELLERS PVT LTD,SOL-RND-0.30-0.38-G-VS1,RND,G,VS1,0.36,188000,67680,45632,500,0,9140,0,0,0,0,0,0,45632,58040,12408,45632,SOL,45750,1
PJ050,Upgrade,26-05-2025,1,DSJ-GRN-GRN-0525-593,71I4O95,BANSAL JEWELLERS (RUDRAPUR),SOL-RND-0.23-0.29-G-VVS1,RND,G,VVS1,0.26,221000,57460,45468,500,0,0,0,0,0,0,0,0,45468,56960,11492,45468,SOL,45798,HOSL/22
PJ019,Upgrade,12-04-2025,1,DSJ-GRN-GRN-0425-547,16O6E50,KULDIP SONS JEWELLERS PVT LTD,SOL-RND-0.30-0.38-G-VS1,RND,G,VS1,0.3,188000,56400,39930,500,0,3500,0,0,0,0,0,0,39930,52400,12470,39930,SOL,45750,1
PJ049,Upgrade,11-06-2025,1,DSJ-GRN-GRN-0625-660,37I8Q67,S.G. KAIGAONKAR (SAVEDI),SOL-RND-0.50-0.59-F-VVS1,RND,F,VVS1,0.56,361000,202160,165771,0,0,0,0,0,0,0,0,0,165771,202160,36389,165771,SOL,45815,SGK/MAY/01
PJ059,Upgrade,17-06-2025,1,DSJ-GRN-GRN-0625-670,13B8B01,RATNALAYA JEWELLERS,SOL-RND-0.30-0.38-E-IF,RND,E,IF,0.33,321000,105930,84744,0,0,0,0,0,0,0,0,0,84744,105930,21186,84744,SOL,45825,HOIN252628
PJ011,Upgrade,21-04-2025,1,DSJ-GRN-GRN-0425-560,38L3Q64,LALA PURSHOTTAM DAS JEWELLERS PVT LTD,SOL-RND-1.00-1.23-H-VS1,RND,H,VS1,1.2,460000,552000,469200,0,0,0,0,0,0,0,0,0,469200,552000,82800,469200,SOL,45766,S/297
PJ016,Upgrade,04-06-2025,1,DSJ-GRN-GRN-0625-634,16D3J47,D P ABHUSHAN LTD,SOL-RND-0.30-0.38-H-VS2,RND,H,VS2,0.3,176000,52800,42240,0,0,0,0,0,0,0,0,0,42240,52800,10560,42240,SOL,45810,LHORDSA-220
PJ005,Upgrade,05-06-2025,1,DSJ-GRN-GRN-0625-637,12F5M37,SHREE BALKRISHNA JEWELLERS,SOL-RND-0.10-0.13-EF-VVS,RND,EF,VVS,0.1,198000,19800,15444,0,0,0,0,0,0,0,0,0,15444,19800,4356,15444,SOL,45811,GS/1354
PJ050,Upgrade,26-05-2025,1,DSJ-GRN-GRN-0525-593,17Z4U29,BANSAL JEWELLERS (RUDRAPUR),SOL-RND-0.23-0.29-K-SI1,RND,K,SI1,0.23,160000,36800,29440,0,0,0,0,0,0,0,0,0,29440,36800,7360,29440,SOL,45798,HOSL/22
PJ016,Upgrade,04-06-2025,1,DSJ-GRN-GRN-0625-634,2L870-00946,D P ABHUSHAN LTD,SOL-RND-0.23-0.29-G-VS2,RND,G,VS2,0.25,208000,52000,41600,0,0,0,0,0,0,0,0,0,41600,52000,10400,41600,SOL,45810,LHORDSA-220
PJ050,Upgrade,26-05-2025,1,DSJ-GRN-GRN-0525-593,17R7O53,BANSAL JEWELLERS (RUDRAPUR),SOL-RND-0.23-0.29-K-SI1,RND,K,SI1,0.23,160000,36800,29440,0,0,0,0,0,0,0,0,0,29440,36800,7360,29440,SOL,45798,HOSL/22
PJ010,Upgrade,11-06-2025,1,DSJ-GRN-GRN-0625-655,73YK9G9,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.14-0.17-EF-SI,RND,EF,SI,0.16,153000,24480,19829,0,0,0,0,0,0,0,0,0,19829,24480,4651,19829,SOL,45818,BHORSB-32
PJ005,Upgrade,05-06-2025,1,DSJ-GRN-GRN-0625-637,11N3R24,SHREE BALKRISHNA JEWELLERS,SOL-RND-0.10-0.13-EF-VVS,RND,EF,VVS,0.1,198000,19800,15444,0,0,0,0,0,0,0,0,0,15444,19800,4356,15444,SOL,45811,GS/1354
PJ019,Upgrade,12-04-2025,1,DSJ-GRN-GRN-0425-547,17S4U09,KULDIP SONS JEWELLERS PVT LTD,SOL-RND-0.30-0.38-G-VS1,RND,G,VS1,0.35,188000,65800,47136,500,0,5380,0,0,0,0,0,0,47136,59920,12784,47136,SOL,45750,1
PJ054,Upgrade,22-05-2025,1,DSJ-GRN-GRN-0525-590,12T1O53,PANDIT JEWELLERS PVT LTD,SOL-RND-0.60-0.69-G-VS2,RND,G,VS2,0.63,257000,161910,132266,500,0,0,0,0,0,0,0,0,132266,161410,29144,132266,SOL,45795,PJPL/897
PJ014,Full Exchange,16-04-2025,1,DSJ-GRN-GRN-0425-558,64J6J88,ABHARAN JEWELLERS PVT LTD.(UDUPI),SOL-RND-0.30-0.38-G-VS1,RND,G,VS1,0.3,185000,55500,42735,0,0,0,0,23,12765,0,0,0,42735,42735,0,42735,SOL,45758,W25VS42
PJ014,Full Exchange,16-04-2025,1,DSJ-GRN-GRN-0425-558,15G1O50,ABHARAN JEWELLERS PVT LTD.(UDUPI),SOL-RND-0.10-0.13-EF-VVS,RND,EF,VVS,0.13,194000,25220,18915,0,0,0,0,25,6305,0,0,0,18915,18915,0,18915,SOL,45758,W25VS42
PJ014,Full Exchange,16-04-2025,1,DSJ-GRN-GRN-0425-558,14M9L52,ABHARAN JEWELLERS PVT LTD.(UDUPI),SOL-RND-0.10-0.13-EF-VVS,RND,EF,VVS,0.1,194000,19400,14550,0,0,0,0,25,4850,0,0,0,14550,14550,0,14550,SOL,45758,W25VS42
PJ014,Full Exchange,16-04-2025,1,DSJ-GRN-GRN-0425-558,15K6Y35,ABHARAN JEWELLERS PVT LTD.(UDUPI),SOL-RND-0.10-0.13-EF-VVS,RND,EF,VVS,0.1,194000,19400,14550,0,0,0,0,25,4850,0,0,0,14550,14550,0,14550,SOL,45758,W25VS42
PJ065,Full Exchange,23-05-2025,1,DSJ-GRN-GRN-0525-592,63I8B91,FINE JEWELS,SOL-RND-0.30-0.38-J-VVS2,RND,J,VVS2,0.36,151000,54360,43488,0,0,0,0,0,0,0,0,0,43488,54360,10872,43488,SOL,45789,FJ/05/25-26
PJ065,Full Exchange,23-05-2025,1,DSJ-GRN-GRN-0525-592,17X8L09,FINE JEWELS,SOL-RND-0.50-0.59-H-VVS1,RND,H,VVS1,0.57,235000,133950,109839,0,0,0,0,0,0,0,0,0,109839,133950,24111,109839,SOL,45789,FJ/05/25-26
PJ065,Full Exchange,23-05-2025,1,DSJ-GRN-GRN-0525-592,14A9Z68,FINE JEWELS,SOL-RND-0.39-0.44-K-VS1,RND,K,VS1,0.4,147000,58800,47040,0,0,0,0,0,0,0,0,0,47040,58800,11760,47040,SOL,45789,FJ/05/25-26
PJ065,Full Exchange,23-05-2025,1,DSJ-GRN-GRN-0525-592,10O8U17,FINE JEWELS,SOL-RND-0.14-0.17-EF-VVS,RND,EF,VVS,0.17,208000,35360,27581,0,0,0,0,0,0,0,0,0,27581,35360,7779,27581,SOL,45789,FJ/05/25-26
