Vendor Code,Transaction Type,Trans Type,Trans Category,Trans Date,Pcs,Doc No,Stock Code,Collections,Category,Customer Name,Variant Name,Sol Pcs,Sol Wt,Sol Amt,Sd Pcs,Sd Wt,Sd Amt,Gross Wt,Gold Wt,Metal Wt,Metal Purity,Metal Color,Metal Amt,Platinum Wt,Brass Wt,Cgst Amt,Consumables Wt,Consumbales Amt,Igst Amt,Sgst Amt,Item Name,Logo Dia Amt,Logo Dia Wt,Final Amt,Silver Wt,Vendor Inv Date,Vendor Inv No,Salesperson
PJ001,GOODS RECEIPT NOTE,GRN,Outright Purchase,12-06-2025,1,DSJ-GRN-GRN-0625-661,995G5,Generic,NECKWEAR,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,960000,0,,14400,0,0,0,14400,DNK11548,0,0,960000,0,45819,BG-13657,VISHAL JAIN
PJ001,GOODS RECEIPT NOTE,GRN,Outright Purchase,12-06-2025,1,DSJ-GRN-GRN-0625-661,995G7,Generic,NECKWEAR,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,960000,0,,14400,0,0,0,14400,DNK11548,0,0,960000,0,45819,BG-13657,VISHAL JAIN
PJ001,GOODS RECEIPT NOTE,GRN,Outright Purchase,12-06-2025,1,DSJ-GRN-GRN-0625-661,995G4,Generic,NECKWEAR,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,960000,0,,14400,0,0,0,14400,DNK11548,0,0,960000,0,45819,BG-13657,VISHAL JAIN
PJ001,GOODS RECEIPT NOTE,GRN,Outright Purchase,12-06-2025,1,DSJ-GRN-GRN-0625-661,995G6,Generic,NECKWEAR,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,960000,0,,14400,0,0,0,14400,DNK11548,0,0,960000,0,45819,BG-13657,VISHAL JAIN
PJ001,GOODS RECEIPT NOTE,GRN,Outright Purchase,12-06-2025,1,DSJ-GRN-GRN-0625-661,995G8,Generic,NECKWEAR,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,960000,0,,14400,0,0,0,14400,DNK11548,0,0,960000,0,45819,BG-13657,VISHAL JAIN
PJ163,GOODS RECEIPT NOTE,GRN,Outright Purchase,05-06-2025,1,DSJ-GRN-GRN-0625-640,995G3,Generic,NECKWEAR,RANKA JEWELLERS & SONS PVT LTD,DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,966000,0,,14490,0,0,0,14490,DNK11548,0,0,966000,0,45812,KR-30425,VISHAL JAIN
PJ163,GOODS RECEIPT NOTE,GRN,Outright Purchase,05-06-2025,1,DSJ-GRN-GRN-0625-640,995G2,Generic,NECKWEAR,RANKA JEWELLERS & SONS PVT LTD,DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,966000,0,,14490,0,0,0,14490,DNK11548,0,0,966000,0,45812,KR-30425,VISHAL JAIN
PJ163,GOODS RECEIPT NOTE,GRN,Outright Purchase,05-06-2025,1,DSJ-GRN-GRN-0625-640,995G1,Generic,NECKWEAR,RANKA JEWELLERS & SONS PVT LTD,DNK11548---18KT--,,,0,0,0,0,100,100,100,24KT,Yellow,966000,0,,14490,0,0,0,14490,DNK11548,0,0,966000,0,45812,KR-30425,VISHAL JAIN
PJ059,GOODS RECEIPT NOTE,GRN,Buyback,29-05-2025,1,DSJ-GRN-GRN-0525-620,152L8,Generic,RING,RATNALAYA JEWELLERS,DRF9764-0.14-0.17-18KT-10,2,0.28,36247,0,0,0,2.508,2.452,2.452,18KT,Yellow,17286.6,0,,0,0,0,1606.01,0,DRF9764,0,0,53533.6,0,45799,HOIN252616,BIJOY KUNDER
PJ059,GOODS RECEIPT NOTE,GRN,Buyback,29-05-2025,1,DSJ-GRN-GRN-0525-620,17P3N,Generic,NOSE PIN,RATNALAYA JEWELLERS,DNP8408-0.10-0.13-18KT--,1,0.11,14310,0,0,0,0.273,0.251,0.251,18KT,Yellow,1769.55,0,,0,0,0,482.39,0,DNP8408,0,0,16079.55,0,45799,HOIN252616,BIJOY KUNDER
