Stock Code,Trans Date,Doc No,Vendor Code,Vendor Name,Vendor Inv No,Vendor Inv Date,Item Name,Pcs,Category,Collections,Gross Wt,Gold Wt,Platinum Wt,Silver Wt,Brass Wt,Metal Purity,Gold Rate,Metal Wt,Gold Amount,Platinum Rate,Platinum Amt,Labour Amount,Handling Amount,Branding Amount,Engraving Amount,Enamel Amount,Sol Pcs,Sol Wt,SD Pcs,SD Wt,Sd Rate,Sd Amt,Consumables Wt,Consumbales Amt,Logo Dia Pcs,Logo Dia Wt,Logo Dia Rate,Logo Dia Amt,Amunt bfr Tax,Cgst Amt,Sgst Amt,Igst Amt,Amount Aft Tax
93KH4,45749,DSJ-PRI-COS-2025-4,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DEF8161,1,EARRING,Generic,3.945,3.823,0,0,0,18KT,6990,3.823,26722.77,0,0,3058.4,300,0,0,0,2,0.3,34,0.31,60500,18440,0,0,1,0.0001,1,0,48521.1701,727.8175515,727.8175515,0,49976.8052
23E2H,45749,DSJ-PRI-COS-2025-14,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DRF10362,1,RING,Generic,2.355,2.285,0,0,0,18KT,6990,2.285,15972.15,0,0,1828,230,0,0,0,1,0.23,18,0.12,57750,7480,0,0,1,0.0001,1,0,25510.1501,382.6522515,382.6522515,0,26275.4546
95KZ9,45749,DSJ-PRI-COS-2025-17,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DRF8339,1,RING,Generic,3.513,3.361,0,0,0,18KT,6990,3.361,23493.39,0,0,2688.8,270,0,0,0,1,0.27,74,0.49,41767.86,20660,0,0,1,0.0001,1,0,47112.1901,706.6828515,706.6828515,0,48525.5558
23D7Q,45749,DSJ-PRI-COS-2025-23,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DRM8935,1,RING,Generic,4.88,4.817,0,0,0,18KT,7169.51,4.817,34535.53,0,0,3853.6,310,0,0,0,1,0.31,0,0,,,0,0,1,0.005,44000,220,38919.12967,583.7869451,583.7869451,0,40086.70356
65XR3,45749,DSJ-PRI-COS-2025-24,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DPF8227,1,NECKWEAR,Generic,0.976,0.926,0,0,0,18KT,6990,0.926,6472.74,0,0,740.8,150,0,0,0,1,0.15,20,0.1,44000,4400,0,0,1,0.0001,1440000,144,11907.54,178.6131,178.6131,0,12264.7662
42DO5,45749,DSJ-PRI-COS-2025-26,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DCF8771,1,RING,Now & Forever,3.204,3.14,0,0,0,18KT,6990,3.14,21948.6,0,0,2512,190,0,0,0,1,0.19,18,0.13,43000,5520,0,0,1,0.0001,1,0,30170.6001,452.5590015,452.5590015,0,31075.7181
93RP3,45749,DSJ-PRI-COS-2025-2,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DEF8629,1,EARRING,Generic,2.862,2.778,0,0,0,18KT,6990,2.778,19418.22,0,0,2222.4,250,0,0,0,2,0.25,32,0.17,62823.53,10680,0,0,1,0.0001,1,0,32570.6201,488.5593015,488.5593015,0,33547.7387
51FW3,45749,DSJ-PRI-COS-2025-7,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DNP8409,1,NOSE PIN,Generic,0.312,0.287,0,0,0,18KT,6990,0.287,2006.13,0,0,457.40051,120,0,0,0,1,0.12,0,0,,,0,0,1,0.005,44000,220,2803.53051,42.0529577,42.0529577,0,2887.636425
50LR2,45749,DSJ-PRI-COS-2025-8,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DNP8411,1,NOSE PIN,Generic,0.34,0.309,0,0,0,18KT,6990,0.309,2159.91,0,0,461.8,150,0,0,0,1,0.15,0,0,,,0,0,1,0.005,44000,220,2991.71,44.87565,44.87565,0,3081.4613
41UK4,45749,DSJ-PRI-COS-2025-16,003,MFG-D P DESIGNS PVT LTD,7-DP-25-26,45749,DPF9490,1,NECKWEAR,Generic,1.134,1.058,0,0,0,18KT,6990,1.058,7395.42,0,0,846.4,210,0,0,0,1,0.21,23,0.17,44000,7480,0,0,1,0.0001,650000,65,15996.82,239.9523,239.9523,0,16476.7246
