Party Code,Outlet Code,Trans Type,Transaction Type,Trans Category,Trans Date,Doc No,Pcs,Stock Code,Customer Name,Outlet Nickname,Design No,Product Category,Dsd Size,Solitaire Shape,Solitaire Color,Solitaire Quality,Sol Wt,Rate,Premium Per,Prem Amt,Solitaire Mrp,Solitaire Net Amount,Pj Customer Scheme Disc Amt,Customer Sch Disc Amt,Pj Disc,Policy Disc Amt,Extra Pj Disc,Extra Pj Disc Amt,Taxable Amount,Tax Amount,Total Cust Disc Amt,Total Amount,Rco,Sco,Trans Remark,Memo Type,Order No,Order Party Name,Salesperson,City,Zone
PJ046,PJ046,INV,SALES INVOICE,SOR,45749,AA11,1,16A0L15 ,A. GEERI PAI GOLD & DIAMONDS,A. GEERI PAI GOLD & DIAMONDS,SOL-RND-0.10-0.13-GH-VVS,SOLITAIRE,0.10-0.13,RND,GH,VVS,0.12,181000,0,0,21720,21720,0,0,4778.4,0,0,0,16941.6,0,0,16941.6,0,0,,,-,,RAKESH RAJA,Kochi,
PJ010,PJ010,INV,MEMO INVOICE,PYDS DSD,45808,DS0370/25-26,1,73YK9G9,MADANLAL CHHAGANLAL JEWELLERS,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.14-0.17-EF-SI,SOLITAIRE,0.14-0.17,RND,EF,SI,0.16,153000,0,0,24480,24480,0,0,4316.8,1760,0,0,18403.2,276.048,1760,18679.248,0,0,,Other,-,,Tanmay Mehta,Indore,Central
PJ010,PJ010,INV,MEMO INVOICE,PYDS DSD,45808,DS0370/25-26,1,22DJ3A9,MADANLAL CHHAGANLAL JEWELLERS,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.14-0.17-EF-SI,SOLITAIRE,0.14-0.17,RND,EF,SI,0.16,153000,0,0,24480,24480,0,0,4347.2,1600,0,0,18532.8,277.992,1600,18810.792,0,0,,Other,-,,Tanmay Mehta,Indore,Central
PJ010,PJ010,INV,MEMO INVOICE,PYDS DSD,45808,DS0370/25-26,1,15Z9G25,MADANLAL CHHAGANLAL JEWELLERS,MADANLAL CHHAGANLAL JEWELLERS,SOL-RND-0.14-0.17-EF-SI,SOLITAIRE,0.14-0.17,RND,EF,SI,0.16,153000,0,0,24480,24480,0,0,4347.2,1600,0,0,18532.8,277.992,1600,18810.792,0,0,,Other,-,,Tanmay Mehta,Indore,Central
PJ061,PJ061,INV,MEMO INVOICE,PYDS DSD,45761,DS0048/25-26,1,74TD4H7,S S JEWELLERS,S S JEWELLERS,SOL-RND-0.60-0.69-H-VVS2,SOLITAIRE,0.60-0.69,RND,H,VVS2,0.62,246000,0,0,152520,152520,0,0,27453.6,0,0,0,125066.4,1875.996,0,126942.396,0,0,,Other,-,,NILESH JAIN,Gurgaon,North
PJ061,PJ061,INV,MEMO INVOICE,PYDS DSD,45761,DS0048/25-26,1,34YR4C9,S S JEWELLERS,S S JEWELLERS,SOL-RND-0.60-0.69-H-VVS2,SOLITAIRE,0.60-0.69,RND,H,VVS2,0.61,246000,0,0,150060,150060,0,0,27010.8,0,0,0,123049.2,1845.738,0,124894.938,0,0,,Other,-,,NILESH JAIN,Gurgaon,North
PJ050,PJ050,INV,MEMO INVOICE,PYDS DSD,45783,DS0173/25-26,1,16O7T38,BANSAL JEWELLERS (RUDRAPUR),BANSAL JEWELLERS (RUDRAPUR),SOL-RND-0.14-0.17-IJ-VS,SOLITAIRE,0.14-0.17,RND,IJ,VS,0.14,150000,0,0,21000,21000,0,0,4250.4,1680,0,0,15069.6,226.044,1680,15295.644,0,0,,Other,-,,NILESH JAIN,Rudrapur,North-East
PJ050,PJ050,INV,MEMO INVOICE,PYDS DSD,45826,DS0472/25-26,1,18D1G98,BANSAL JEWELLERS (RUDRAPUR),BANSAL JEWELLERS (RUDRAPUR),SOL-RND-0.18-0.22-E-SI1,SOLITAIRE,0.18-0.22,RND,E,SI1,0.21,179000,0,0,37590,37590,0,0,7182,1680,0,0,28728,430.92,1680,29158.92,0,0,,Other,-,,RONAK SHAH,Rudrapur,North-East
PJ094,PJ094,INV,MEMO INVOICE,PYDS DSD,45772,DS0096/25-26,1,17I8Q98,GOVIND NARAYAN JOG AND SONS-KOLHAPUR,GOVIND NARAYAN JOG AND SONS-KOLHAPUR,SOL-RND-0.10-0.13-EF-VVS,SOLITAIRE,0.10-0.13,RND,EF,VVS,0.12,198000,0,0,23760,23760,0,0,3024,2160,0,0,18576,278.64,2160,18854.64,0,0,,Other,-,,DIBYAJYOTI HAJRA,Kolhapur,WEST
OT031,PJ001,INV,MEMO INVOICE,PYDS DSD,45800,DS0289/25-26,1,17L9M52,RANKA JEWELLERS AND BROTHERS PVT LTD (BUND GARDEN),RANKA JEWELLERS AND BROTHERS PVT LTD (RP),SOL-RND-0.90-0.99-G-VVS2,SOLITAIRE,0.90-0.99,RND,G,VVS2,0.93,545000,0,0,506850,506850,0,0,76027.5,0,0,0,430822.5,6462.3375,0,437284.8375,0,0,,Other,-,,DIBYAJYOTI HAJRA,PUNE,WEST
PJ005,PJ005,INV,MEMO INVOICE,PYDS DSD,45804,DS0299/25-26,1,13H2C35,SHREE BALKRISHNA JEWELLERS,SHREE BALKRISHNA JEWELLERS,SOL-RND-0.18-0.22-G-VVS1,SOLITAIRE,0.18-0.22,RND,G,VVS1,0.18,208000,0,0,37440,37440,0,0,7488,0,0,0,29952,449.28,0,30401.28,0,0,,Other,-,,VIPESH SHAH,Jamnagar,WEST
PJ005,PJ005,INV,MEMO INVOICE,PYDS DSD,45811,DS0391/25-26,1,14T2U34,SHREE BALKRISHNA JEWELLERS,SHREE BALKRISHNA JEWELLERS,SOL-RND-0.10-0.13-EF-VVS,SOLITAIRE,0.10-0.13,RND,EF,VVS,0.1,198000,0,0,19800,19800,0,0,4048,1400,0,0,14352,215.28,1400,14567.28,0,0,,Consignment Stock Approved,-,,NIPUN SHAH,Jamnagar,WEST
