Party Code,Outlet Code,Transaction Type,Trans Type,Trans Category,Trans Date,Doc No,Pcs,Stock Code,Customer Name,Outlet Nickname,Design No,Collection,Product Category,Sub Category,Dsd Size,Solitaire Uid,Solitaire Shape,Solitaire Color,Solitaire Quality,Sol Wt,Sol Pcs,Collection Charge,Solitaire Mrp,Solitaire Pj Masrgin,Solitaire Extra Pj Masrgin,Sol Customer Disc,Solitaire Net Amount,Diamond Shape,Diamond Color,Diamond Clarity,Diamond Wt,Diamond Pcs,Diamond Mrp,Diamond Pj Margin,Diamond Customer Disc,Diamond Net Amount,Gross Weight,Gold Net Wt,Purity,Metal Colour,Gold Mrp,Gold Pj Margin,Metal Invoice Amt,Paltinum Net Wt,Platinum Pj Margin,Platinum Mrp,Other Metal Mrp,Rco Amount,Sco Amount,Total Customer Discount,Total Pj Extra Margin,Total Pj Margin,Taxable Amount,Tax Amount,Total Amount,Row Status,Session Id,Sales Person,Net Wt,Order For,Order Date,Order No,Order Party,City,Zone
PJ163,OT107,MEMO INVOICE,INV,OUTRIGHT,45752,DS0004/25-26,1,27A6E,RANKA JEWELLERS & SONS PVT LTD,RANKA-V-BANER,DRM8942-0.30-0.38-18KT-19,Generic,RING,Male Ring,0.30-0.38,39EF9W4,RND,E,VS1,0.38,1,0,80940,13113.8,0,0,64026.2,,,,,,,,,,7.266,7.189,18KT,Yellow,69373.85,9536.219,58579.631,0,0,0,0,640.26,0,5058,0,22650.019,121965.5728,4218.0454,121965.5728,0,1683276,DIBYAJYOTI HAJRA,7.189,-,16/02/2024,-,,PUNE         ,WEST
PJ025,PJ025,MEMO INVOICE,INV,TCS SALES,45751,DS0001/25-26,1,18E4R,ANJANEYA JEWELLERS,Anjaneya,DRF9769-0.14-0.17-18KT-12,Generic,RING,Female Ring,0.14-0.17,13K4F10,RND,EF,VVS,0.17,1,0,35360,7779.2,0,0,27580.8,RND,EF,VVS,0.03,1,3030,757.5,0,2272.5,2.37,2.33,18KT,Yellow,22484.5,3372.675,19111.825,0,0,0,0,0,0,0,0,11909.375,48965.125,1468.9538,48965.125,0,1683276,SUNIL JOSEPH,2.33,-,16/02/2024,-,,Vijaywada    ,South
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,11K8W,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DRM8944-0.14-0.17-18KT-26,Generic,RING,Male Ring,0.14-0.17,17Q4I43,RND,EF,VS,0.17,1,0,32980,7255.6,0,0,25724.4,,,,,,,,,,5.846,5.811,18KT,Yellow,56076.15,8411.4225,47664.7275,0,0,0,0,0,0,0,0,15667.0225,73389.1275,2201.6738,73389.1275,0,1683276,SUNIL JOSEPH,5.811,-,16/02/2024,-,,Bhubaneshwar ,Central
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,630AN,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DRF9645-0.14-0.17-18KT-10,Generic,RING,Female Ring,0.14-0.17,17T5P54,RND,EF,VS,0.15,1,0,29100,6402,0,0,22698,RND,GH,VS,0.12,16,9720,2430,0,7290,2.77802,2.724,18KT,Yellow,26286.6,3942.99,22343.61,0,0,0,0,0,0,0,0,12774.99,52331.61,1569.9483,52331.61,0,1683276,SUNIL JOSEPH,2.724,-,16/02/2024,-,,Bhubaneshwar ,Central
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,10M18,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DEF9010-0.10-0.13-18KT--,Generic,EARRING,Female Earring,"0.10-0.13,0.10-0.13","15F4S19,16U0D87",RND,GH,VVS,0.26,2,0,47060,10353.2,0,0,36706.8,"RND,RND,RND,RND",GH,VS,0.11,22,8910,2227.5,0,6682.5,2.24202,2.168,18KT,Rose,20921.2,3138.18,17783.02,0,0,0,0,0,0,0,0,15718.88,61172.32,2145.7656,61172.32,0,1683276,SUNIL JOSEPH,2.168,-,16/02/2024,-,,Bhubaneshwar ,Central
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,96M70,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DRF9752-0.10-0.13-18KT-12,Generic,RING,Female Ring,0.10-0.13,14A2P62,RND,EF,VS,0.12,1,0,21240,4672.8,0,0,16567.2,,,,,,,,,,1.619,1.594,18KT,Rose,15382.1,2307.315,13074.785,0,0,0,0,0,0,0,0,6980.115,29641.98501,1029.4436,29641.98501,0,1683276,SUNIL JOSEPH,1.594,-,16/02/2024,-,,Bhubaneshwar ,Central
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,99M99,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DPF9590-0.10-0.13-18KT--,Generic,NECKWEAR,Female Pendant,0.10-0.13,15I5Q20,RND,EF,VS,0.11,1,0,19470,4283.4,0,0,15186.6,,,,,,,,,,0.78,0.757,18KT,Rose,7305.05,1095.7575,6209.2925,0,0,0,0,0,0,0,0,5379.1575,21395.89251,770.3788,21395.89251,0,1683276,SUNIL JOSEPH,0.757,-,16/02/2024,-,,Bhubaneshwar ,Central
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,99M95,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DPF8274-0.14-0.17-18KT--,Generic,NECKWEAR,Female Pendant,0.14-0.17,15F4M58,RND,GH,VVS,0.16,1,0,31680,6969.6,0,0,24710.4,,,,,,,,,,0.389,0.356,18KT,Rose,7199.744,1079.9616,6119.7824,0,0,0,0,0,0,0,0,8049.5616,30830.18241,828.9147,30830.18241,0,1683276,SUNIL JOSEPH,0.356,-,16/02/2024,-,,Bhubaneshwar ,Central
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,190AN,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DRF8957-0.18-0.22-18KT-15,Generic,RING,Female Ring,0.18-0.22,16M6A63,RND,E,VS1,0.18,1,0,35280,7056,0,0,28224,"RND,RND",GH,VS,0.25,30,20250,5062.5,0,15187.5,2.408,2.321,18KT,Rose,22397.65,3359.6475,19038.0025,0,0,0,0,0,0,0,0,15478.1475,62449.50251,2085.1651,62449.50251,0,1683276,SUNIL JOSEPH,2.321,-,16/02/2024,-,,Bhubaneshwar ,Central
PJ036,PJ036,MEMO INVOICE,INV,TCS SALES,45754,DS0007/25-26,1,631AN,KHIMJI K.D & SONS PVT LTD-JANPATH,KHIMJI,DRF8201-0.14-0.17-18KT-16,Generic,RING,Female Ring,0.14-0.17,14C6F99,RND,EF,VS,0.15,1,0,29100,6402,0,0,22698,,,,,,,,,,3.274,3.243,18KT,Rose,31294.95,4694.2425,26600.7075,0,0,0,0,0,0,0,0,11096.2425,49298.7075,1478.9612,49298.7075,0,1683276,SUNIL JOSEPH,3.243,-,16/02/2024,-,,Bhubaneshwar ,Central
